Total training cases: 3039
Total correctly classified: 2885
Accuracy: 94.93%

Misclassified output:
.\dataset\cardboard\92.jpg plastic
.\dataset\cardboard\cardboard128.jpg paper
.\dataset\cardboard\cardboard137.jpg paper
.\dataset\cardboard\cardboard143.jpg paper
.\dataset\cardboard\cardboard144.jpg paper
.\dataset\cardboard\cardboard150.jpg paper
.\dataset\cardboard\cardboard151.jpg paper
.\dataset\cardboard\cardboard153.jpg paper
.\dataset\cardboard\cardboard161.jpg paper
.\dataset\cardboard\cardboard162.jpg paper
.\dataset\cardboard\cardboard166.jpg plastic
.\dataset\cardboard\cardboard169.jpg paper
.\dataset\cardboard\cardboard171.jpg metal
.\dataset\cardboard\cardboard190.jpg paper
.\dataset\cardboard\cardboard217.jpg paper
.\dataset\cardboard\cardboard218.jpg paper
.\dataset\cardboard\cardboard219.jpg paper
.\dataset\cardboard\cardboard220.jpg paper
.\dataset\cardboard\cardboard229.jpg paper
.\dataset\cardboard\cardboard239.jpg paper
.\dataset\cardboard\cardboard254.jpg paper
.\dataset\cardboard\cardboard266.jpg paper
.\dataset\cardboard\cardboard268.jpg paper
.\dataset\cardboard\cardboard277.jpg paper
.\dataset\cardboard\cardboard286.jpg paper
.\dataset\cardboard\cardboard296.jpg paper
.\dataset\cardboard\cardboard33.jpg paper
.\dataset\cardboard\cardboard346.jpg paper
.\dataset\cardboard\cardboard353.jpg paper
.\dataset\cardboard\cardboard366.jpg paper
.\dataset\cardboard\cardboard384.jpg paper
.\dataset\cardboard\cardboard392.jpg paper
.\dataset\cardboard\cardboard394.jpg paper
.\dataset\cardboard\cardboard42.jpg paper
.\dataset\cardboard\cardboard50.jpg paper
.\dataset\cardboard\cardboard95.jpg paper
.\dataset\cardboard\cardboard99.jpg paper
.\dataset\glass\glass100.jpg plastic
.\dataset\glass\glass102.jpg plastic
.\dataset\glass\glass115.jpg metal
.\dataset\glass\glass122.jpg plastic
.\dataset\glass\glass170.jpg metal
.\dataset\glass\glass175.jpg metal
.\dataset\glass\glass186.jpg metal
.\dataset\glass\glass192.jpg metal
.\dataset\glass\glass199.jpg metal
.\dataset\glass\glass209.jpg plastic
.\dataset\glass\glass213.jpg metal
.\dataset\glass\glass22.jpg metal
.\dataset\glass\glass222.jpg plastic
.\dataset\glass\glass255.jpg plastic
.\dataset\glass\glass284.jpg plastic
.\dataset\glass\glass285.jpg metal
.\dataset\glass\glass288.jpg plastic
.\dataset\glass\glass294.jpg metal
.\dataset\glass\glass304.jpg plastic
.\dataset\glass\glass309.jpg metal
.\dataset\glass\glass32.jpg plastic
.\dataset\glass\glass331.jpg plastic
.\dataset\glass\glass340.jpg metal
.\dataset\glass\glass348.jpg plastic
.\dataset\glass\glass362.jpg plastic
.\dataset\glass\glass364.jpg paper
.\dataset\glass\glass372.jpg plastic
.\dataset\glass\glass375.jpg metal
.\dataset\glass\glass380.jpg plastic
.\dataset\glass\glass409.jpg metal
.\dataset\glass\glass410.jpg metal
.\dataset\glass\glass462.jpg plastic
.\dataset\glass\glass463.jpg metal
.\dataset\glass\glass495.jpg metal
.\dataset\glass\glass57.jpg paper
.\dataset\glass\glass63.jpg plastic
.\dataset\glass\glass65.jpg plastic
.\dataset\glass\glass74.jpg metal
.\dataset\glass\glass75.jpg plastic
.\dataset\glass\glass76.jpg metal
.\dataset\glass\glass86.jpg plastic
.\dataset\glass\glass96.jpg metal
.\dataset\glass\glass99.jpg metal
.\dataset\metal\metal15.jpg paper
.\dataset\metal\metal151.jpg glass
.\dataset\metal\metal156.jpg plastic
.\dataset\metal\metal157.jpg glass
.\dataset\metal\metal165.jpg paper
.\dataset\metal\metal166.jpg paper
.\dataset\metal\metal173.jpg glass
.\dataset\metal\metal278.jpg glass
.\dataset\metal\metal287.jpg glass
.\dataset\metal\metal293.jpg glass
.\dataset\metal\metal333.jpg glass
.\dataset\metal\metal37.jpg glass
.\dataset\metal\metal79.jpg glass
.\dataset\metal\metal97.jpg glass
.\dataset\paper\paper201.jpg metal
.\dataset\paper\paper212.jpg cardboard
.\dataset\paper\paper243.jpg plastic
.\dataset\paper\paper258.jpg cardboard
.\dataset\paper\paper29.jpg cardboard
.\dataset\paper\paper3.jpg metal
.\dataset\paper\paper343.jpg cardboard
.\dataset\paper\paper375.jpg metal
.\dataset\paper\paper400.jpg cardboard
.\dataset\paper\paper462.jpg cardboard
.\dataset\paper\paper469.jpg metal
.\dataset\paper\paper491.jpg cardboard
.\dataset\paper\paper590.jpg plastic
.\dataset\paper\paper591.jpg plastic
.\dataset\paper\paper592.jpg metal
.\dataset\paper\paper97.jpg plastic
.\dataset\plastic\plastic113.jpg metal
.\dataset\plastic\plastic12.jpg metal
.\dataset\plastic\plastic13.jpg paper
.\dataset\plastic\plastic147.jpg glass
.\dataset\plastic\plastic152.jpg glass
.\dataset\plastic\plastic172.jpg glass
.\dataset\plastic\plastic190.jpg glass
.\dataset\plastic\plastic196.jpg metal
.\dataset\plastic\plastic198.jpg metal
.\dataset\plastic\plastic199.jpg glass
.\dataset\plastic\plastic2.jpg paper
.\dataset\plastic\plastic216.jpg glass
.\dataset\plastic\plastic221.jpg metal
.\dataset\plastic\plastic223.jpg glass
.\dataset\plastic\plastic232.jpg metal
.\dataset\plastic\plastic236.jpg metal
.\dataset\plastic\plastic307.jpg metal
